,Item,ExpSup,MaxPeriod
0,368,7862.321,113.0
1,529,7082.315,133.0
2,829,6841.142999999998,146.0
3,766,6236.237999999999,112.0
4,722,5878.275000000001,136.0
5,354,5797.438999999999,140.0
6,684,5375.073,184.0
7,217,5345.286999999999,204.0
8,494,5101.821,186.0
9,419,5042.517999999999,159.0
10,692,5020.154,143.0
11,120,4978.844999999999,174.0
12,883,4923.17,197.0
13,937,4664.168000000001,201.0
14,145,4597.888000000002,189.0
15,177,4593.361000000001,183.0
16,438,4536.465999999999,232.0
17,460,4424.72,185.0
18,362,4375.777000000001,224.0
19,789,4299.72,327.0
20,39,4256.324,236.0
21,32,4247.671000000001,219.0
22,682,4174.329000000001,182.0
23,470,4114.952,243.0
24,283,4096.9039999999995,229.0
25,914,4069.4309999999996,242.0
26,538,4029.123000000001,283.0
27,966,3957.138,190.0
28,720,3878.6650000000004,182.0
29,183,3835.0009999999997,206.0
30,541,3789.643000000001,271.0
31,775,3771.5389999999998,228.0
32,919,3694.9060000000004,288.0
33,947,3678.8209999999995,219.0
34,888,3678.7730000000006,287.0
35,401,3655.5849999999996,277.0
36,205,3639.218999999999,231.0
37,862,3627.5379999999996,223.0
38,956,3621.19,264.0
39,71,3511.195,231.0
40,346,3486.0389999999993,223.0
41,489,3431.1069999999995,242.0
42,12,3430.0369999999994,237.0
43,895,3371.297,255.0
44,795,3344.442,302.0
45,510,3277.0480000000007,290.0
46,598,3235.0860000000002,299.0
47,487,3133.516,294.0
48,614,3133.2139999999995,263.0
49,75,3121.3870000000006,259.0
50,798,3109.8769999999995,254.0
51,825,3097.9940000000006,271.0
52,8,3097.726,355.0
53,350,3085.3000000000006,261.0
54,793,3069.6139999999996,407.0
55,509,3064.2649999999994,254.0
56,885,3036.3720000000003,257.0
57,886,3029.282,298.0
58,279,3019.4669999999996,228.0
59,918,2998.6109999999994,275.0
60,675,2979.7950000000005,284.0
61,581,2951.5639999999994,323.0
62,381,2934.8529999999996,303.0
63,571,2880.2509999999993,320.0
64,471,2875.828,526.0
65,597,2856.484999999999,301.0
66,758,2851.6049999999996,381.0
67,569,2846.7790000000005,306.0
68,854,2846.1770000000006,334.0
69,548,2838.1000000000004,342.0
70,871,2819.2140000000004,341.0
71,526,2815.347,236.0
72,175,2803.990999999999,299.0
73,844,2800.027,302.0
74,694,2799.513000000001,263.0
75,561,2796.683,283.0
76,72,2789.908,282.0
77,944,2789.708,312.0
78,631,2785.7149999999997,280.0
79,93,2783.071,256.0
80,960,2762.6459999999997,351.0
81,239,2747.7700000000004,256.0
82,782,2746.0339999999997,318.0
83,57,2732.451,323.0
84,797,2724.9280000000003,285.0
85,522,2718.41,244.0
86,390,2705.9770000000003,276.0
87,998,2696.814,269.0
88,112,2691.854,268.0
89,676,2689.1079999999997,275.0
90,140,2682.5099999999998,270.0
91,132,2670.2220000000007,301.0
92,285,2667.1370000000006,376.0
93,661,2666.2250000000004,334.0
94,413,2664.6639999999993,360.0
95,653,2661.1350000000007,305.0
96,21,2649.3859999999995,277.0
97,606,2646.3349999999996,543.0
98,617,2640.1809999999996,408.0
99,752,2620.239,341.0
100,236,2615.7419999999997,441.0
101,274,2613.981,311.0
102,54,2600.5629999999996,291.0
103,593,2598.1800000000003,281.0
104,151,2596.3870000000006,368.0
105,674,2549.2369999999996,289.0
106,276,2498.877,343.0
107,778,2497.022,313.0
108,48,2480.064,295.0
109,634,2478.653,336.0
110,78,2477.405,394.0
111,477,2440.706,289.0
112,38,2426.8139999999994,341.0
113,392,2409.967,349.0
114,788,2409.4680000000003,381.0
115,70,2395.065,488.0
116,921,2379.53,370.0
117,663,2376.8109999999997,363.0
118,242,2363.687,474.0
119,69,2358.6859999999997,370.0
120,161,2347.2590000000005,345.0
121,229,2325.549,349.0
122,780,2317.96,407.0
123,480,2310.2599999999998,375.0
124,638,2297.4170000000004,359.0
125,874,2245.7360000000003,308.0
126,296,2235.2529999999992,358.0
127,523,2222.202,347.0
128,803,2214.1919999999996,343.0
129,27,2206.204,447.0
130,579,2187.4619999999995,363.0
131,204,2185.5239999999994,311.0
132,73,2175.507,324.0
133,116,2174.793,362.0
134,744,2163.729,345.0
135,6,2133.5449999999996,376.0
136,334,2129.45,411.0
137,809,2121.67,340.0
138,280,2118.2210000000005,339.0
139,620,2116.9909999999995,428.0
140,472,2111.917,340.0
141,196,2108.408,435.0
142,738,2103.9740000000006,579.0
143,387,2098.138,309.0
144,450,2096.0939999999996,329.0
145,832,2082.199,464.0
146,970,2075.7760000000003,385.0
147,878,2072.9,340.0
148,826,2060.0649999999996,394.0
149,411,2039.9279999999997,279.0
150,774,2027.9089999999999,494.0
151,192,2018.9099999999999,394.0
152,210,2006.7390000000005,443.0
153,349,2002.1639999999998,353.0
154,35,1993.848,523.0
155,373,1993.682,511.0
156,746,1992.4779999999996,505.0
157,52,1980.5490000000002,385.0
158,913,1943.5060000000003,362.0
159,897,1935.5649999999998,349.0
160,440,1926.8750000000005,375.0
161,893,1919.241,353.0
162,214,1917.959,385.0
163,55,1909.9479999999996,481.0
164,800,1901.6840000000004,500.0
165,449,1900.788,337.0
166,706,1890.4709999999998,368.0
167,841,1886.6970000000001,360.0
168,658,1883.529,365.0
169,332,1869.8530000000003,333.0
170,427,1867.225,405.0
171,763,1856.2920000000001,442.0
172,623,1838.2689999999998,640.0
173,227,1831.967,373.0
174,90,1825.0910000000001,370.0
175,853,1814.952,384.0
176,805,1794.7629999999997,520.0
177,110,1793.2689999999998,460.0
178,687,1783.341,660.0
179,704,1782.8870000000004,476.0
180,290,1773.449,454.0
181,932,1769.239,453.0
182,923,1764.5610000000001,464.0
183,975,1759.942,484.0
184,935,1756.48,332.0
185,115,1756.162,470.0
186,984,1738.9360000000001,384.0
187,100,1732.908,376.0
188,765,1730.8400000000004,514.0
189,45,1719.3190000000002,413.0
190,403,1710.9879999999998,435.0
191,735,1702.3240000000003,520.0
192,130,1701.333,586.0
193,967,1700.403,390.0
194,43,1698.2820000000004,487.0
195,580,1684.2190000000003,466.0
196,275,1681.2920000000006,609.0
197,887,1674.9929999999997,383.0
198,385,1673.853,534.0
199,814,1668.405,435.0
200,910,1667.9560000000001,355.0
201,884,1666.137,572.0
202,577,1665.8969999999997,453.0
203,17,1665.8469999999998,401.0
204,605,1647.7250000000001,375.0
205,769,1643.9590000000003,469.0
206,673,1638.456,382.0
207,31,1632.0750000000003,458.0
208,351,1631.964,416.0
209,740,1630.278,552.0
210,68,1614.2740000000001,475.0
211,51,1612.3980000000001,545.0
212,982,1611.812,371.0
213,343,1606.3439999999996,583.0
214,572,1594.8500000000001,450.0
215,521,1588.0650000000003,642.0
216,639,1579.376,433.0
217,516,1569.4410000000003,453.0
218,85,1566.6009999999999,552.0
219,857,1560.041,566.0
220,952,1559.2780000000002,494.0
221,486,1549.0149999999999,427.0
222,630,1548.2250000000004,496.0
223,168,1548.0549999999998,430.0
224,867,1543.289,646.0
225,129,1539.6680000000001,427.0
226,964,1532.707,543.0
227,981,1523.7500000000002,561.0
228,812,1523.0119999999997,461.0
229,405,1519.1790000000003,486.0
230,1,1518.6040000000003,513.0
231,594,1516.779,483.0
232,995,1506.2199999999998,526.0
233,686,1497.9790000000003,557.0
234,259,1497.2120000000002,575.0
235,469,1496.1840000000002,546.0
236,534,1495.6950000000002,390.0
237,185,1494.5169999999998,518.0
238,846,1494.3019999999997,443.0
239,641,1493.635,563.0
240,33,1487.1449999999998,530.0
241,208,1486.2130000000002,685.0
242,461,1483.9920000000004,472.0
243,820,1479.303,529.0
244,97,1479.2060000000001,501.0
245,294,1472.7129999999997,517.0
246,736,1472.7119999999995,383.0
247,28,1470.9110000000003,593.0
248,950,1461.4279999999999,474.0
249,162,1459.0069999999998,589.0
250,198,1458.5230000000001,474.0
251,326,1455.6399999999999,422.0
252,424,1455.0490000000002,454.0
253,906,1448.655,719.0
254,611,1448.408,501.0
255,154,1446.921,657.0
256,500,1435.613,882.0
257,234,1435.604,541.0
258,890,1432.9569999999999,523.0
259,949,1428.7720000000006,642.0
260,496,1425.4559999999994,507.0
261,423,1419.4330000000004,692.0
262,143,1415.4069999999997,460.0
263,147,1410.3680000000002,554.0
264,25,1408.914,472.0
265,310,1405.0900000000001,547.0
266,240,1404.9199999999998,461.0
267,4,1402.244,550.0
268,308,1393.3059999999998,712.0
269,265,1388.052,503.0
270,834,1384.8139999999999,426.0
271,583,1377.969,549.0
272,41,1360.4719999999998,690.0
273,319,1357.1960000000001,598.0
274,749,1350.07,507.0
275,335,1347.6290000000004,554.0
276,815,1345.2900000000002,441.0
277,576,1343.5469999999998,798.0
278,707,1337.2139999999997,484.0
279,678,1332.9180000000001,451.0
280,448,1327.0279999999998,404.0
281,946,1326.3359999999998,684.0
282,10,1325.964,518.0
283,618,1322.298,451.0
284,792,1320.3770000000002,595.0
285,58,1317.3509999999999,532.0
286,804,1317.2079999999999,759.0
287,963,1312.2270000000003,502.0
288,574,1311.3449999999996,603.0
289,578,1307.9709999999998,598.0
290,649,1305.003,959.0
291,989,1301.4129999999996,540.0
292,665,1298.8340000000003,535.0
293,540,1297.289,571.0
294,504,1292.584,646.0
295,651,1285.0010000000002,697.0
296,125,1281.2679999999998,778.0
297,513,1281.26,523.0
298,701,1280.8070000000002,728.0
299,859,1275.9470000000006,627.0
300,810,1275.5179999999996,661.0
301,991,1272.953,741.0
302,899,1266.982,584.0
303,860,1262.3990000000001,594.0
304,309,1262.173,478.0
305,530,1261.83,650.0
306,163,1258.6329999999998,721.0
